MQ3,MQ2,MQ6,MQ5,MQ135,MQ4,MQ8,MQ9,HUM,TEMPC,TEMPF,TARGET
393,1859,1713,2063,1705,715,173,354,"55.60
%",28.7,83.66,0
388,1860,1691,2062,1706,720,240,357,"55.60
%",28.7,83.66,0
400,1861,1685,2059,1707,720,131,362,"55.60
%",28.7,83.66,0
398,1859,1693,2047,1709,720,171,357,"55.70
%",28.7,83.66,0
394,1847,1686,2064,1703,720,166,357,"55.70
%",28.7,83.66,0
381,1856,1690,2060,1702,703,169,355,"55.60
%",28.7,83.66,0
391,1841,1689,2057,1698,720,163,354,"55.60
%",28.7,83.66,0
391,1840,1686,2053,1691,717,163,360,"55.50
%",28.7,83.66,0
400,1837,1689,2045,1699,717,167,357,"55.50
%",28.7,83.66,0
304,1841,1671,2047,1702,719,170,343,"55.40
%",28.7,83.66,0
389,1840,1681,2047,1699,719,165,353,"55.40
%",28.7,83.66,0
388,1840,1682,2055,1703,715,163,356,"55.40
%",28.7,83.66,0
385,1842,1691,2054,1698,713,162,355,"55.40
%",28.7,83.66,0
387,1840,1689,2055,1696,708,167,365,"55.30
%",28.7,83.66,0
386,1835,1798,2047,1700,717,160,356,"55.30
%",28.7,83.66,0
385,1831,1684,2053,1701,720,163,357,"55.40
%",28.7,83.66,0
418,1831,1691,2047,1699,717,159,361,"55.40
%",28.7,83.66,0
385,1834,1690,2053,1709,714,158,357,"55.40
%",28.7,83.66,0
383,1825,1680,2043,1696,719,157,357,"55.40
%",28.7,83.66,0
386,1830,1675,2047,1698,720,165,370,"55.40
%",28.8,83.84,0
388,1735,1688,2054,1700,715,164,341,"55.40
%",28.8,83.84,0
390,1831,1693,2055,1707,720,161,358,"55.50
%",28.8,83.84,0
384,1831,1699,2064,1707,719,157,359,"55.50
%",28.8,83.84,0
386,1831,1701,2061,1707,723,161,356,"55.50
%",28.8,83.84,0
387,1829,1695,2060,1706,715,163,359,"55.50
%",28.8,83.84,0
387,1830,1694,2063,1707,727,161,357,"55.40
%",28.8,83.84,0
393,1835,1696,2059,1693,719,162,364,"55.40
%",28.8,83.84,0
395,1837,1680,2064,1697,717,169,358,"55.50
%",28.8,83.84,0
390,1835,1692,2057,1698,712,169,363,"55.50
%",28.8,83.84,0
385,1838,1693,2055,1699,715,167,359,"55.50
%",28.8,83.84,0
400,1839,1680,2047,1698,720,167,357,"55.50
%",28.8,83.84,0
400,1840,1693,2047,1691,717,167,359,"55.40
%",28.8,83.84,0
409,1843,1697,2064,1706,720,171,362,"55.40
%",28.8,83.84,0
402,1842,1681,2059,1742,717,154,362,"55.30
%",28.8,83.84,0
404,1847,1698,2053,1692,720,169,355,"55.30
%",28.8,83.84,0
402,1843,1666,2058,1699,720,166,357,"55.40
%",28.9,84.02,0
401,1846,1696,2053,1691,717,189,361,"55.40
%",28.9,84.02,0
398,1841,1695,2055,1696,711,174,357,"55.40
%",28.8,83.84,0
393,1835,1693,2057,1654,709,169,360,"55.40
%",28.8,83.84,0
399,1836,1697,2064,1705,725,168,391,"55.30
%",28.9,84.02,0
390,1836,1698,2047,1685,717,165,366,"55.30
%",28.9,84.02,0
391,1834,1695,2061,1696,720,173,357,"55.30
%",28.9,84.02,0
393,1833,1694,2055,1699,720,174,359,"55.30
%",28.9,84.02,0
390,1828,1693,2063,1697,722,175,364,"55.30
%",28.9,84.02,0
385,1825,1695,2062,1696,715,174,362,"55.30
%",28.9,84.02,0
382,1824,1689,2087,1697,718,166,363,"55.30
%",28.9,84.02,0
384,1825,1694,2047,1695,720,174,367,"55.30
%",28.9,84.02,0
394,1828,1680,2061,1698,718,170,359,"55.20
%",28.9,84.02,0
381,1827,1693,2063,1697,737,173,365,"55.20
%",28.9,84.02,0
383,1840,1698,2057,1697,734,179,363,"55.20
%",28.9,84.02,0
384,1830,1697,2060,1696,717,217,366,"55.20
%",28.9,84.02,0
375,1825,1689,2047,1694,723,175,361,"55.30
%",28.9,84.02,0
373,1823,1681,2046,1687,720,176,364,"55.30
%",28.9,84.02,0
371,1821,1691,2054,1696,730,173,361,"55.30
%",28.9,84.02,0
379,1822,1695,2057,1691,720,173,366,"55.30
%",28.9,84.02,0
374,1818,1693,2058,1687,711,173,423,"55.30
%",28.9,84.02,0
373,1813,1694,2053,1696,720,169,363,"55.30
%",28.9,84.02,0
415,1809,1686,2054,1696,721,165,353,"55.20
%",28.9,84.02,0
375,1810,1694,2063,1694,718,172,362,"55.20
%",28.9,84.02,0
375,1809,1691,2037,1693,720,166,359,"55.20
%",28.9,84.02,0
379,1808,1693,2047,1686,715,160,365,"55.20
%",28.9,84.02,0
373,1808,1689,2033,1691,723,165,361,"55.20
%",28.9,84.02,0
373,1808,1687,2046,1691,720,194,361,"55.20
%",28.9,84.02,0
368,1811,1695,2061,1700,720,151,358,"55.20
%",29,84.2,0
368,1811,1696,2047,1667,720,166,365,"55.20
%",29,84.2,0
382,1813,1697,2046,1689,719,162,363,"55.30
%",29,84.2,0
399,1814,1696,2055,1687,720,164,368,"55.30
%",29,84.2,0
377,1808,1687,2047,1667,720,166,368,"55.40
%",29,84.2,0
370,1808,1682,2055,1695,720,155,363,"55.40
%",29,84.2,0
